LATITUD,LONGITUD,ACTIVIDAD,TIPO,FECHA
-11.82351803,-72.93665084,Hidrocarburos,ITS,7/04/2017
-8.03887574,-77.44635503,Minería,Clasificación,17/04/2018
-9.5,-77.078,Minería,ITS,19/07/2016
-17.8159,-69.8115,Minería,ITS,25/10/2016
-5.905,-80.4105,Hidrocarburos,ITS,28/10/2016
-7.8953,-78.1362,Minería,ITS,28/10/2016
-16.5532,-71.5902,Minería,ITS,27/12/2017
-11.0101,-76.41,Minería,ITS,16/09/2016
-11.80956715,-72.87995689,Hidrocarburos,ITS,24/03/2017
-12.04393705,-77.12833123,Minería,ITS,31/10/2017
-12.69745209,-76.59507001,Minería,ITS,7/12/2017
-9.31037971,-76.4582175,Electricidad,Clasificación,8/03/2017
-11.9688,-76.7728,Electricidad,Clasificación,22/06/2016
-6.9761,-78.4859,Minería,ITS,28/06/2016
-5.24037274,-79.98636081,Transportes,ITS,5/09/2019
-13.6952,-71.6976,Electricidad,MEIA-d,22/03/2016
-13.6417,-75.5447,Hidrocarburos,ITS,23/02/2016
-16.5532,-71.5902,Minería,MEIA-d,11/02/2016
-12.47109053,-73.07243163,Hidrocarburos,ITS,21/09/2017
-11.69191344,-73.30088121,Hidrocarburos,ITS,3/11/2017
-11.83876767,-72.94742008,Hidrocarburos,ITS,5/09/2017
-11.27233551,-75.32800121,Electricidad,ITS,17/10/2017
-14.4711,-71.7723,Minería,ITS,1/07/2016
-14.2258,-70.3237,Minería,ITS,2/07/2016
-11.50224952,-76.31988958,Minería,ITS,27/11/2018
-13.77735516,-76.22810707,Hidrocarburos,ITS,28/09/2017
-11.0101,-76.41,Minería,ITS,20/09/2018
-15.274,-75.2085,Minería,ITS,26/09/2018
-15.2315,-75.1593,Minería,Clasificación,7/12/2018
-4.28121767,-81.16118187,Hidrocarburos,ITS,13/01/2017
-6.73433487,-78.69104144,Minería,ITS,3/08/2017
-6.76329946,-78.62061249,Minería,ITS,25/09/2017
-15.46485168,-74.90828184,Electricidad,Clasificación,14/02/2017
-11.6613,-76.5035,Electricidad,Clasificación,25/04/2016
-6.73433487,-78.69104144,Minería,ITS,18/06/2018
-15.44615157,-74.9474093,Electricidad,Clasificación,26/06/2017
-10.5793,-76.2155,Minería,ITS,2/12/2019
-12.2132,-73.0767,Hidrocarburos,ITS,25/04/2016
-6.32619989,-77.86909847,Transportes,Clasificación,29/04/2019
-7.61396927,-78.2039437,Minería,ITS,14/11/2019
-9.54451496,-77.05330294,Minería,Clasificación,30/10/2019
-11.83155669,-72.94512506,Hidrocarburos,ITS,11/10/2019
-15.1625,-75.0617,Minería,ITS,20/08/2018
-4.33140322,-81.17951503,Hidrocarburos,ITS,20/04/2018
-10.4578,-76.7469,Minería,ITS,23/04/2018
-14.9546,-71.2618,Minería,MEIA-d,27/04/2018
-3.7036,-80.631,Hidrocarburos,ITS,30/04/2018
-9.9549,-77.0335,Minería,Clasificación,27/05/2016
-8.87111593,-76.47507071,Electricidad,Clasificación,25/07/2017
-11.2267,-74.3612,Hidrocarburos,ITS,29/12/2017
-13.06348195,-74.987972,Minería,ITS,7/11/2017
-6.06786698,-76.97260448,Electricidad,ITS,23/04/2017
-15.2742392,-72.34812065,Minería,ITS,29/06/2017
-13.2571091,-76.31236406,Hidrocarburos,ITS,10/07/2017
-11.84987252,-72.97840637,Hidrocarburos,ITS,8/11/2017
-3.48830546,-80.24917822,Agricultura,IGAPRO,21/10/2019
-5.93489793,-79.28232995,Transportes,ITS,20/02/2019
-13.80450909,-70.4776638,Transportes,ITS,29/10/2019
-13.77912664,-76.17448791,Minería,ITS,25/01/2017
-4.68613935,-81.23100692,Hidrocarburos,ITS,27/01/2017
-4.57665534,-81.28524297,Hidrocarburos,ITS,21/06/2017
-4.68613935,-81.23100692,Hidrocarburos,ITS,30/06/2017
-6.98982411,-78.5410714,Minería,ITS,4/07/2017
-11.58641255,-77.27812268,Transportes,EIA-d,25/02/2020
-11.92349718,-76.673,Agricultura,IGAPRO,31/07/2020
-4.67457406,-81.28962807,Hidrocarburos,ITS,5/08/2020
-13.09060665,-75.99558315,Minería,ITS,7/08/2020
-14.9669,-72.3204,Minería,ITS,8/11/2018
-15.19706491,-71.85063662,Minería,ITS,28/05/2019
-13.67505976,-71.60369033,Transportes,ITS,9/08/2019
-3.58303267,-73.13370767,Transportes,Clasificación,14/08/2019
-11.1009739,-69.56125863,Transportes,ITS,14/08/2019
-12.03996481,-76.9939791,Transportes,ITS,17/04/2019
-9.95012327,-77.05601423,Minería,MEIA-d,29/04/2016
-17.16521559,-70.69422398,Minería,ITS,1/03/2017
-14.5329,-73.3014,Electricidad,ITS,21/03/2016
-6.00264948,-79.1692481,Transportes,ITS,11/10/2018
-11.90912138,-73.96729044,Transportes,Clasificación,4/11/2019
-7.12154124,-79.57943138,Agricultura,Clasificación,6/11/2019
-11.30276426,-72.96531854,Transportes,Clasificación,21/11/2019
-15.16248845,-75.06173559,Minería,MEIA-d,3/02/2017
-9.73926399,-76.79547101,Transportes,Clasificación,31/12/2019
-13.50716669,-70.42443186,Electricidad,EIA-d,31/07/2018
-11.43418988,-69.34086411,Transportes,ITS,27/02/2020
-11.91809723,-69.12348023,Transportes,ITS,28/02/2020
-11.8035,-73.0302,Hidrocarburos,Clasificación,16/12/2016
-14.22957477,-70.32541821,Minería,ITS,27/02/2017
-8.83863417,-75.10423389,Hidrocarburos,ITS,29/03/2017
-6.73433487,-78.69104144,Minería,ITS,7/02/2017
-14.07406315,-72.31043183,Minería,MEIA-d,30/11/2017
-16.20493806,-70.57982855,Minería,ITS,30/11/2017
-16.62430383,-71.87181486,Transportes,Clasificación,3/10/2019
-11.08480857,-77.17109848,Electricidad,ITS,8/06/2017
-11.44025246,-69.3330244,Transportes,ITS,1/10/2019
-12.52690293,-69.40880332,Transportes,ITS,18/10/2019
-15.1505,-75.0756,Minería,ITS,26/09/2016
-11.918,-77.1358,Hidrocarburos,ITS,7/07/2016
-14.5812,-69.3845,Minería,ITS,15/09/2016
-9.8393,-76.0079,Electricidad,EIA-d,16/09/2016
-6.87266482,-79.3585903,Electricidad,ITS,23/02/2017
-11.03638166,-77.11036284,Electricidad,ITS,23/08/2017
-12.11979156,-76.97699832,Electricidad,Clasificación,27/12/2016
-7.8936,-78.132,Minería,ITS,17/05/2016
-10.4579,-76.7465,Minería,ITS,8/06/2016
-6.9898,-78.5411,Minería,ITS,30/11/2017
-6.9761,-78.4859,Minería,ITS,30/11/2017
-10.30733231,-76.1724177,Transportes,Clasificación,21/02/2020
-6.83010821,-78.89867199,Minería,ITS,4/05/2017
-10.78726025,-76.72114929,Minería,MEIA-d,4/05/2017
-11.9672,-76.8828,Minería,ITS,17/08/2016
-11.54034582,-73.1451835,Hidrocarburos,ITS,15/11/2017
-4.4909,-81.2428,Hidrocarburos,ITS,11/08/2016
-12.06613259,-76.97907964,Electricidad,Clasificación,1/05/2019
-8.22850404,-78.98216575,Transportes,EIA-d,2/05/2019
-17.00195803,-72.10108116,Transportes,ITS,3/05/2019
-3.64086648,-73.21923662,Electricidad,ITS,21/11/2019
-3.52686767,-80.23392449,Agricultura,IGAPRO,20/05/2019
-14.91869936,-73.23711362,Minería,ITS,9/07/2019
-14.96308882,-73.23322802,Minería,Clasificación,11/07/2019
-16.6453027,-71.84829881,Residuos Sólidos,Clasificación,27/07/2019
-5.94512761,-79.24083528,Transportes,ITS,10/07/2019
-9.9252686,-76.29542588,Transportes,ITS,19/05/2020
-12.50236024,-74.99229163,Transportes,Clasificación,21/09/2018
-11.82044162,-72.94039131,Hidrocarburos,EIA-d,22/12/2017
-8.54035946,-78.20932057,Transportes,Clasificación,3/07/2018
-17.03838228,-71.9778932,Electricidad,ITS,20/10/2017
